,country,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,vaccines
0,Afghanistan,1809517.0,770302.0,219159.0,4.65,1.98,0.56,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing"
1,Albania,1340339.0,764997.0,575342.0,46.58,26.58,19.99,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
2,Algeria,4146091.0,3421279.0,724812.0,9.45,7.8,1.65,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V"
3,Andorra,91660.0,51044.0,40616.0,118.63,66.06,52.57,"Oxford/AstraZeneca, Pfizer/BioNTech"
4,Angola,1727488.0,1000191.0,727297.0,5.26,3.04,2.21,Oxford/AstraZeneca
5,Anguilla,18457.0,9492.0,8965.0,123.03,63.27,59.76,Oxford/AstraZeneca
6,Antigua and Barbuda,71434.0,39186.0,32248.0,72.95,40.02,32.93,Oxford/AstraZeneca
7,Argentina,37234519.0,26784800.0,10449719.0,82.38,59.26,23.12,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
8,Armenia,220236.0,144573.0,75663.0,7.43,4.88,2.55,"Oxford/AstraZeneca, Sinovac, Sputnik V"
9,Aruba,143030.0,74788.0,68242.0,133.97,70.05,63.92,Pfizer/BioNTech
10,Australia,15892260.0,10264706.0,5627554.0,62.32,40.25,22.07,"Oxford/AstraZeneca, Pfizer/BioNTech"
11,Austria,10245849.0,5412659.0,5061419.0,113.76,60.1,56.2,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
12,Azerbaijan,5932734.0,3526467.0,2406267.0,58.51,34.78,23.73,"Oxford/AstraZeneca, Sinovac, Sputnik V"
13,Bahamas,110443.0,62863.0,47580.0,28.08,15.99,12.1,Oxford/AstraZeneca
14,Bahrain,2436360.0,1129009.0,1074086.0,143.18,66.35,63.12,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V"
